"group","metabolite"
1,"ARFGEF3"
1,"GFUS"
1,"APC2"
1,"RASL10A"
1,"CYP4F8"
1,"SBSN"
1,"FLRT1"
1,"LGALS9"
1,"SLC20A2"
1,"HDHD3"
1,"RIN3"
1,"VPS18"
1,"C1orf198"
1,"LOC101929719"
1,"HAPLN3"
1,"BASP1"
1,"NPW"
1,"STAT5A"
1,"S100P"
1,"SAMD10"
1,"TMEM150A"
1,"GAS7"
1,"RHBDF1"
1,"CSRP1"
1,"ERV3-1"
1,"RELL2"
1,"C5orf46"
1,"PLXNC1"
1,"RDH12"
1,"TMEM51"
1,"SEC63P1"
1,"MMP15"
1,"ENC1"
1,"PYCARD-AS1"
1,"RHBDL2"
1,"ASIC3"
1,"CAST"
1,"HEXD"
1,"GRIP1"
1,"HLA-B"
1,"TUBA1A"
1,"KCNK15"
1,"RORA-AS1"
1,"S100A9"
1,"CYP1B1"
1,"LOC613038"
1,"PLA2G5"
1,"TC2N"
1,"PNKD"
1,"CYP2F1"
1,"P4HTM"
1,"MIR615"
1,"IFI6"
1,"SERPINB11"
1,"OAS1"
1,"FN3K"
1,"GNPTG"
1,"NLRC5"
1,"EBF3"
1,"SLC25A5P5"
1,"PPP6R2"
1,"GALNT8"
1,"MSMB"
1,"GRIK5"
1,"VILL"
1,"BACE2"
1,"PLAC4"
1,"TMEM271"
1,"ABO"
1,"NPM3"
1,"CHPF2"
1,"EVA1C"
1,"RNF144A"
1,"ZBTB7B"
1,"DCAF8L2"
1,"ESRP2"
1,"CPAMD8"
1,"B4GALT5"
1,"NECAB3"
1,"CHKB-DT"
1,"LOC122526776"
1,"REEP1"
1,"CEACAM19"
1,"DMKN"
1,"ENPP5"
1,"PCDH18"
1,"IL34"
1,"TMEM273"
1,"RNF186"
1,"COL1A2"
1,"LINC03034"
1,"HLA-DMB"
1,"ZNF444"
1,"CCDC160"
1,"XBP1"
1,"MIER2"
1,"AOPEP"
1,"ATF5"
1,"LINC02256"
1,"FLVCR2-AS1"
1,"KRTDAP"
1,"MAP3K5-AS1"
1,"ARHGEF38"
1,"TENM4"
1,"SMKR1"
1,"CST4"
1,"AHI1-DT"
1,"PSMB8-AS1"
1,"STOML1"
1,"KRT78"
1,"GATM"
1,"MIR4458HG"
1,"ABHD5"
1,"CEP170B"
1,"RBM39P1"
1,"A2ML1"
1,"TTC39A"
1,"LINC02341"
1,"PTCH2"
1,"LAMA4"
1,"TMEM202-AS1"
1,"CALML5"
1,"MACROD1"
1,"ATL2"
1,"AXIN2"
1,"SPATA13"
1,"PIP5K1B"
1,"DUX4L26"
1,"CR2"
1,"CYP2J2"
1,"PLA2G4F"
1,"SCNN1B"
1,"H2BC6"
1,"RNF39"
1,"ADAMTS10"
1,"KRCC1"
1,"HTR1D"
1,"SPOCD1"
1,"RASSF10"
1,"SHC4"
1,"BCLAF1P2"
1,"MIR3677HG"
1,"FYN"
1,"MTFR1L"
1,"SERPINB13"
1,"BBLN"
1,"CDC42BPG"
1,"RPL19P6"
1,"LINC02491"
1,"MMAA"
1,"CD14"
1,"GID8"
1,"CEACAM7"
1,"NPFFR1"
1,"POTEF"
1,"SMPDL3B"
1,"PLEKHM1"
1,"RGCC"
1,"SLC15A1"
1,"AEBP1"
1,"GABRR1"
1,"ATP5PBP8"
1,"JPH2"
1,"ACOT6"
1,"CAPN6"
1,"MUC20"
1,"TMPRSS13"
1,"FOXI1"
1,"NSF"
