"group","metabolite"
4,"GSTA1"
4,"SLC45A4"
4,"HSD17B2"
4,"NDST1"
4,"SLC4A8"
4,"SLC12A2"
4,"AMY2B"
4,"SLC51A"
4,"UROS"
4,"SLC39A3"
4,"HSD17B10"
4,"AQP3"
4,"PDE7B"
4,"OAS2"
4,"CYP1A1"
4,"ALDH1B1"
4,"CSGALNACT1"
4,"LPCAT3"
4,"ASPG"
4,"CRAT"
4,"MFSD9"
4,"CES5A"
4,"ADIPOR1"
4,"GABRE"
4,"SRD5A3"
4,"ABCG1"
4,"ENPP2"
4,"GLTP"
4,"PPCDC"
4,"LOXL4"
4,"ST8SIA1"
4,"ATP10B"
4,"GRIN1"
4,"CYP26A1"
4,"RYR2"
4,"ABCA12"
4,"ALDH2"
4,"ABHD8"
4,"PGD"
4,"MMEL1"
4,"KCTD13"
4,"SLC38A7"
4,"ABCD1"
4,"COQ4"
4,"ACE2"
4,"MOGAT2"
4,"CACNB3"
